	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
moments	0.000	2.000	2.000	2.000	0.000	0.000	0.000
reconstructing	1.000	3.000	2.000	4.000	0.000	0.000	0.000
constrained	1.000	3.000	2.000	4.000	0.000	0.000	0.000
consistency	3.000	5.000	2.000	8.000	0.000	0.001	0.000
regularizing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
mixing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
measure	0.000	2.000	2.000	2.000	0.000	0.000	0.000
propagation	2.000	4.000	2.000	6.000	0.000	0.001	0.000
discrimination	0.000	2.000	2.000	2.000	0.000	0.000	0.000
sample	1.000	3.000	2.000	4.000	0.000	0.000	0.000
nested	0.000	2.000	2.000	2.000	0.000	0.000	0.000
disease	0.000	2.000	2.000	2.000	0.000	0.000	0.000
posebased	0.000	2.000	2.000	2.000	0.000	0.000	0.000
poseguided	0.000	2.000	2.000	2.000	0.000	0.000	0.000
mobile	0.000	2.000	2.000	2.000	0.000	0.000	0.000
disparity	0.000	2.000	2.000	2.000	0.000	0.000	0.000
cnns	5.000	7.000	2.000	12.000	0.001	0.001	0.000
narrative	0.000	2.000	2.000	2.000	0.000	0.000	0.000
enriched	0.000	2.000	2.000	2.000	0.000	0.000	0.000
scalable	3.000	5.000	2.000	8.000	0.000	0.001	0.000
sampling	1.000	3.000	2.000	4.000	0.000	0.000	0.000
mask	0.000	2.000	2.000	2.000	0.000	0.000	0.000
crossdomain	1.000	3.000	2.000	4.000	0.000	0.000	0.000
crossdataset	0.000	2.000	2.000	2.000	0.000	0.000	0.000
mutual	0.000	2.000	2.000	2.000	0.000	0.000	0.000
embodied	0.000	2.000	2.000	2.000	0.000	0.000	0.000
multistream	0.000	2.000	2.000	2.000	0.000	0.000	0.000
match	1.000	3.000	2.000	4.000	0.000	0.000	0.000
priors	1.000	3.000	2.000	4.000	0.000	0.000	0.000
distribution	1.000	3.000	2.000	4.000	0.000	0.000	0.000
probability	0.000	2.000	2.000	2.000	0.000	0.000	0.000
rolling	1.000	3.000	2.000	4.000	0.000	0.000	0.000
robustness	0.000	2.000	2.000	2.000	0.000	0.000	0.000
robust	18.000	20.000	2.000	38.000	0.003	0.003	-0.000
encoderdecoder	0.000	2.000	2.000	2.000	0.000	0.000	0.000
road	0.000	2.000	2.000	2.000	0.000	0.000	0.000
common	1.000	3.000	2.000	4.000	0.000	0.000	0.000
multishot	0.000	2.000	2.000	2.000	0.000	0.000	0.000
divide	0.000	2.000	2.000	2.000	0.000	0.000	0.000
compare	0.000	2.000	2.000	2.000	0.000	0.000	0.000
coupled	0.000	2.000	2.000	2.000	0.000	0.000	0.000
lights	0.000	2.000	2.000	2.000	0.000	0.000	0.000
out	0.000	2.000	2.000	2.000	0.000	0.000	0.000
baseline	0.000	2.000	2.000	2.000	0.000	0.000	0.000
augmented	0.000	2.000	2.000	2.000	0.000	0.000	0.000
texttoimage	0.000	2.000	2.000	2.000	0.000	0.000	0.000
unseen	1.000	3.000	2.000	4.000	0.000	0.000	0.000
alignment	6.000	8.000	2.000	14.000	0.001	0.001	0.000
aligning	0.000	2.000	2.000	2.000	0.000	0.000	0.000
humancentric	0.000	2.000	2.000	2.000	0.000	0.000	0.000
tasks	1.000	3.000	2.000	4.000	0.000	0.000	0.000
upsampling	0.000	2.000	2.000	2.000	0.000	0.000	0.000
aggregation	2.000	4.000	2.000	6.000	0.000	0.001	0.000
generate	1.000	3.000	2.000	4.000	0.000	0.000	0.000
interaction	1.000	3.000	2.000	4.000	0.000	0.000	0.000
interactions	1.000	3.000	2.000	4.000	0.000	0.000	0.000
fixation	0.000	2.000	2.000	2.000	0.000	0.000	0.000
age	2.000	4.000	2.000	6.000	0.000	0.001	0.000
vehicles	0.000	2.000	2.000	2.000	0.000	0.000	0.000
units	0.000	2.000	2.000	2.000	0.000	0.000	0.000
functions	1.000	3.000	2.000	4.000	0.000	0.000	0.000
firstperson	2.000	4.000	2.000	6.000	0.000	0.001	0.000
surfaces	2.000	4.000	2.000	6.000	0.000	0.001	0.000
viewpoint	0.000	2.000	2.000	2.000	0.000	0.000	0.000
aesthetics	0.000	2.000	2.000	2.000	0.000	0.000	0.000
viewpointaware	0.000	2.000	2.000	2.000	0.000	0.000	0.000
aerial	1.000	3.000	2.000	4.000	0.000	0.000	0.000
supervision	8.000	10.000	2.000	18.000	0.001	0.001	0.000
finding	1.000	3.000	2.000	4.000	0.000	0.000	0.000
adjustment	0.000	2.000	2.000	2.000	0.000	0.000	0.000
visibility	0.000	2.000	2.000	2.000	0.000	0.000	0.000
super	0.000	2.000	2.000	2.000	0.000	0.000	0.000
inverse	2.000	4.000	2.000	6.000	0.000	0.001	0.000
visualinertial	0.000	2.000	2.000	2.000	0.000	0.000	0.000
universal	2.000	4.000	2.000	6.000	0.000	0.001	0.000
unifying	0.000	2.000	2.000	2.000	0.000	0.000	0.000
study	1.000	3.000	2.000	4.000	0.000	0.000	0.000
imagetoimage	1.000	3.000	2.000	4.000	0.000	0.000	0.000
tree	0.000	2.000	2.000	2.000	0.000	0.000	0.000
transport	0.000	2.000	2.000	2.000	0.000	0.000	0.000
anticipating	0.000	2.000	2.000	2.000	0.000	0.000	0.000
fullyconvolutional	0.000	2.000	2.000	2.000	0.000	0.000	0.000
answer	1.000	3.000	2.000	4.000	0.000	0.000	0.000
approach	11.000	13.000	2.000	24.000	0.002	0.002	-0.000
transformation	2.000	4.000	2.000	6.000	0.000	0.001	0.000
approximate	0.000	2.000	2.000	2.000	0.000	0.000	0.000
arbitrary	1.000	3.000	2.000	4.000	0.000	0.000	0.000
architecture	3.000	5.000	2.000	8.000	0.000	0.001	0.000
architectures	1.000	3.000	2.000	4.000	0.000	0.000	0.000
transferable	0.000	2.000	2.000	2.000	0.000	0.000	0.000
transductive	0.000	2.000	2.000	2.000	0.000	0.000	0.000
trajectory	1.000	3.000	2.000	4.000	0.000	0.000	0.000
anomaly	0.000	2.000	2.000	2.000	0.000	0.000	0.000
that	0.000	2.000	2.000	2.000	0.000	0.000	0.000
tradeoff	0.000	2.000	2.000	2.000	0.000	0.000	0.000
twostep	0.000	2.000	2.000	2.000	0.000	0.000	0.000
illposedness	0.000	2.000	2.000	2.000	0.000	0.000	0.000
framework	6.000	8.000	2.000	14.000	0.001	0.001	0.000
identity	1.000	3.000	2.000	4.000	0.000	0.000	0.000
uncalibrated	0.000	2.000	2.000	2.000	0.000	0.000	0.000
attentional	2.000	4.000	2.000	6.000	0.000	0.001	0.000
unconstrained	1.000	3.000	2.000	4.000	0.000	0.000	0.000
under	4.000	6.000	2.000	10.000	0.001	0.001	0.000
indexing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
identification	2.000	4.000	2.000	6.000	0.000	0.001	0.000
analysis	11.000	13.000	2.000	24.000	0.002	0.002	-0.000
thing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
unet	0.000	2.000	2.000	2.000	0.000	0.000	0.000
geonet	0.000	2.000	2.000	2.000	0.000	0.000	0.000
affordances	0.000	2.000	2.000	2.000	0.000	0.000	0.000
grammar	0.000	2.000	2.000	2.000	0.000	0.000	0.000
actor	0.000	2.000	2.000	2.000	0.000	0.000	0.000
4d	1.000	3.000	2.000	4.000	0.000	0.000	0.000
spatialtemporal	1.000	3.000	2.000	4.000	0.000	0.000	0.000
actions	2.000	4.000	2.000	6.000	0.000	0.001	0.000
kernelized	0.000	2.000	2.000	2.000	0.000	0.000	0.000
lattice	0.000	2.000	2.000	2.000	0.000	0.000	0.000
story	0.000	2.000	2.000	2.000	0.000	0.000	0.000
whos	0.000	2.000	2.000	2.000	0.000	0.000	0.000
bspline	0.000	2.000	2.000	2.000	0.000	0.000	0.000
higher	0.000	2.000	2.000	2.000	0.000	0.000	0.000
budget	0.000	2.000	2.000	2.000	0.000	0.000	0.000
label	2.000	4.000	2.000	6.000	0.000	0.001	0.000
your	0.000	2.000	2.000	2.000	0.000	0.000	0.000
weighted	1.000	3.000	2.000	4.000	0.000	0.000	0.000
boosting	1.000	3.000	2.000	4.000	0.000	0.000	0.000
faster	1.000	3.000	2.000	4.000	0.000	0.000	0.000
stacked	1.000	3.000	2.000	4.000	0.000	0.000	0.000
highly	0.000	2.000	2.000	2.000	0.000	0.000	0.000
labels	1.000	3.000	2.000	4.000	0.000	0.000	0.000
soft	0.000	2.000	2.000	2.000	0.000	0.000	0.000
biometric	0.000	2.000	2.000	2.000	0.000	0.000	0.000
bundle	0.000	2.000	2.000	2.000	0.000	0.000	0.000
hash	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multievidence	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multikernel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiface	0.000	1.000	1.000	1.000	0.000	0.000	0.000
opencl	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiimage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
halle	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiinstance	1.000	2.000	1.000	3.000	0.000	0.000	0.000
hallucinatediqa	0.000	1.000	1.000	1.000	0.000	0.000	0.000
once	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multisequence	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hydranets	0.000	1.000	1.000	1.000	0.000	0.000	0.000
iceba	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hyperparameter	0.000	1.000	1.000	1.000	0.000	0.000	0.000
harmonious	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multimodel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
harmonized	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multisource	0.000	1.000	1.000	1.000	0.000	0.000	0.000
identitypreserved	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiple	11.000	12.000	1.000	23.000	0.002	0.002	-0.000
